BG,0.529,0.454,0.639,0.125,0.503,-,-,,A useFirstBufferElement B transitionHistoryLength1 D transitionHistoryLength2 F useBiGram I useTriGram L useDictionary M S0B0Distance 
CS,0.706,0.647,0.775,0.270,0.757,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma J usePOS K S0S1Distance L useDictionary M S0B0Distance O useStackLength 
DE,0.400,0.298,0.614,0.055,0.356,-,-,,A useFirstBufferElement F useBiGram H useSytax I useTriGram K S0S1Distance L useDictionary N generateS0B2Bigram P enhanceMerge Q enableSingleMWE 
EL,0.571,0.504,0.661,0.238,0.612,-,-,,A useFirstBufferElement E useSecondBufferElement F useBiGram G useLemma H useSytax J usePOS K S0S1Distance L useDictionary N generateS0B2Bigram 
ES,0.658,0.560,0.802,0.200,0.696,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS K S0S1Distance L useDictionary M S0B0Distance 
FA,0.857,0.840,0.875,0.725,0.874,-,-,,A useFirstBufferElement E useSecondBufferElement F useBiGram G useLemma J usePOS K S0S1Distance M S0B0Distance 
FR,0.711,0.630,0.821,0.164,0.834,-,-,,A useFirstBufferElement E useSecondBufferElement F useBiGram G useLemma H useSytax J usePOS K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram 
HE,0.244,0.158,0.626,0.020,0.162,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram L useDictionary N generateS0B2Bigram P enhanceMerge 
HU,0.824,0.820,0.830,0.115,1.621,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS L useDictionary Q enableSingleMWE 
IT,0.282,0.215,0.428,0.058,0.455,-,-,,A useFirstBufferElement C transitionHistoryLength3 F useBiGram G useLemma H useSytax J usePOS K S0S1Distance P enhanceMerge 
LT,0.199,0.123,0.524,0.027,0.128,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram I useTriGram K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram O useStackLength P enhanceMerge 
MT,0.089,0.057,0.225,0.025,0.150,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 F useBiGram G useLemma J usePOS K S0S1Distance L useDictionary O useStackLength P enhanceMerge 
PL,0.662,0.583,0.768,0.139,0.567,-,-,,A useFirstBufferElement C transitionHistoryLength3 F useBiGram G useLemma H useSytax J usePOS L useDictionary 
PT,0.660,0.567,0.792,0.176,0.793,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram O useStackLength Q enableSingleMWE 
RO,0.860,0.815,0.910,0.093,1.404,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma I useTriGram J usePOS K S0S1Distance M S0B0Distance N generateS0B2Bigram 
SL,0.407,0.321,0.569,0.043,0.319,-,-,,A useFirstBufferElement C transitionHistoryLength3 F useBiGram G useLemma J usePOS L useDictionary P enhanceMerge 
SV,0.252,0.164,0.693,0.129,0.049,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram O useStackLength 
TR,0.594,0.579,0.638,0.232,1.105,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax J usePOS M S0B0Distance 

CS,0.698,0.641,0.766,0.247,0.776,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma J usePOS K S0S1Distance L useDictionary M S0B0Distance O useStackLength
PL,0.734,0.640,0.861,0.183,0.670,-,-,,A useFirstBufferElement C transitionHistoryLength3 F useBiGram G useLemma H useSytax J usePOS L useDictionary 

FR,0.730,0.653,0.831,0.171,0.875,-,-,,A useFirstBufferElement E useSecondBufferElement F useBiGram G useLemma H useSytax J usePOS K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram
HU,0.824,0.820,0.830,0.115,1.621,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS L useDictionary Q enableSingleMWE 
