Lang,Fscor,Recall,precision
BG,0.633,0.530,0.785
BG,0,0,0
BG,0,0,0
CS,0.733,0.659,0.824
CS,0,0,0
CS,1.071,1.000,1.154
DE,0.364,0.259,0.612
DE,0,0,0
DE,1.000,1.000,1.000
EL,0.641,0.556,0.757
EL,0.007,0.006,0.009
EL,0,0,0
ES,0.733,0.635,0.868
ES,0,0,0
ES,0.667,1.000,0.500
FA,0.842,0.815,0.870
FA,0.842,0.815,0.870
FA,0,0,0
FR,0.774,0.701,0.863
FR,0,0,0
FR,0.182,1.000,0.100
HE,0.346,0.219,0.831
HE,0.141,0.089,0.338
HE,0.286,1.000,0.167
HU,0.845,0.851,0.838
HU,0,0,0
HU,0.150,1.000,0.081
IT,0.276,0.218,0.376
IT,0,0,0
IT,0.400,1.000,0.250
LT,0.169,0.100,0.538
LT,0,0,0
LT,0,0,0
MT,0.112,0.066,0.367
MT,0,0,0
MT,0,0,0
PL,0.754,0.645,0.907
PL,0,0,0
PL,0,0,0
PT,0.711,0.634,0.809
PT,0,0,0
PT,0,0,0
RO,0.864,0.823,0.910
RO,0,0,0
RO,0.857,1.000,0.750
SL,0.447,0.320,0.737
SL,0,0,0
SL,0,0,0
SV,0.471,0.333,0.800
SV,0,0,0
SV,0,0,0
TR,0.635,0.592,0.683
TR,0.059,0.055,0.063
TR,0,0,0
