BG,0.580,0.510,0.671,6913,1933,346,0,1,0,400,304,0,0,69,21,11010100100110000
CS,0.712,0.656,0.778,43955,12852,6227,136,0,159,2582,2180,0,0,1253,972,11111110011110100
DE,0.213,0.149,0.377,6261,2447,1113,70,715,26,518,204,143,1,237,141,10000101101101011
EL,0.628,0.566,0.707,5244,1518,645,6,3,0,320,256,1,0,135,83,10001111011101000
ES,0.707,0.635,0.798,2502,748,225,15,0,0,156,124,0,0,41,22,11111111111110000
FA,0.891,0.871,0.913,2736,2707,464,1,0,0,541,516,0,0,85,54,10001110011010000
FR,0.755,0.696,0.826,17880,4462,1700,48,1,2,897,755,0,0,364,264,10001111011111000
HE,0.307,0.193,0.754,4673,1282,271,99,0,32,270,69,0,0,60,5,11111100000101010
HU,0.276,0.166,0.818,3569,2999,288,2,2205,21,597,121,440,5,46,29,11111111110100001
IT,0.286,0.226,0.389,15728,1954,372,51,2,6,380,221,0,0,81,18,10100111011000010
LT,0.193,0.114,0.615,12153,402,141,0,0,0,70,13,0,0,28,2,11111100101111110
MT,0.089,0.054,0.250,5965,772,176,1,7,0,167,36,2,0,27,4,11110110011100110
PL,0.685,0.592,0.815,11578,3149,842,32,0,4,617,448,0,0,172,86,10100111010100000
PT,0.672,0.602,0.761,19640,3447,1407,51,76,3,650,514,14,0,244,187,11111111111111101
RO,0.862,0.824,0.903,45469,4040,1427,24,1,12,813,742,0,0,290,244,11111110111011000
SL,0.365,0.292,0.484,8881,1787,986,0,14,0,359,217,7,0,205,102,10100110010100010
SV,0.500,0.333,1.000,200,56,12,1,0,0,12,4,0,0,2,0,11111111111111100
TR,0.614,0.571,0.664,16715,6169,3123,17,3,1,1190,1023,0,0,589,473,11111111010010000

CS,0.705,0.646,0.775,43955,12852,6227,136,0,159,2582,2150,0,0,1253,957,11111110011110100
PL,0.733,0.635,0.867,11578,3149,842,32,0,4,617,452,0,0,172,73,10100111010100000

FR,0.764,0.706,0.832,17880,4462,1700,48,1,2,897,761,0,0,364,276,10001111011111000
HU,0.276,0.166,0.818,3569,2999,288,2,2205,21,597,121,440,5,46,29,11111111110100001
