
BG,0.464,0.458,0.470,6913,1933,346,0,1,0,400,389,0,1,69,132,11010100100110000
CS,0.557,1.291,0.355,43955,12852,6227,136,0,159,2582,9390,0,0,1253,7096,11111110011110100
DE,0.450,0.519,0.397,6261,2447,1113,70,715,26,518,677,143,113,237,417,10000101101101011
EL,0.444,0.647,0.338,5244,1518,645,6,3,0,320,612,1,27,135,430,10001111011101000
ES,0.497,0.756,0.370,2502,748,225,15,0,0,156,319,0,0,41,215,11111111111110000
FA,0.467,0.632,0.371,2736,2707,464,1,0,0,541,923,0,0,85,610,10001110011010000
FR,0.376,0.877,0.239,17880,4462,1700,48,1,2,897,3294,0,18,364,2611,10001111011111000
HE,0.427,0.274,0.961,4673,1282,271,99,0,32,270,77,0,0,60,21,11111100000101010
HU,0.844,0.918,0.782,3569,2999,288,2,2205,21,597,701,440,470,46,99,11111111110100001
IT,0.159,0.479,0.095,15728,1954,372,51,2,6,380,1906,0,1,81,1468,10100111011000010
LT,0.274,0.186,0.520,12153,402,141,0,0,0,70,25,0,0,28,12,11111100101111110
MT,0.061,0.108,0.042,5965,772,176,1,7,0,167,425,2,182,27,163,11110110011100110
PL,0.853,1.058,0.714,11578,3149,842,32,0,4,617,914,0,0,172,366,10100111010100000
PT,0.502,0.774,0.371,19640,3447,1407,51,76,3,650,1354,14,7,244,979,11111111111111101
RO,0.530,1.100,0.349,45469,4040,1427,24,1,12,813,2561,0,470,290,1288,11111110111011000
SL,0.190,0.933,0.106,8881,1787,986,0,14,0,359,3172,7,1667,205,1275,10100110010100010
SV,0.000,0.000,0.000,200,56,12,1,0,0,12,10,0,0,2,9,11111111111111100
TR,0.058,0.461,0.031,16715,6169,3123,17,3,1,1190,17825,0,323,589,10437,11111111010010000

BG,0.461,0.455,0.468,6913,1933,346,0,1,0,400,389,0,1,69,132,11010100100110000
CS,0.326,0.756,0.208,43955,12852,6227,136,0,159,2582,9390,0,0,1253,7096,11111110011110100
DE,0.368,0.425,0.325,6261,2447,1113,70,715,26,518,677,143,113,237,417,10000101101101011
EL,0.369,0.537,0.281,5244,1518,645,6,3,0,320,612,1,27,135,430,10001111011101000
ES,0.366,0.558,0.273,2502,748,225,15,0,0,156,319,0,0,41,215,11111111111110000
FA,0.467,0.632,0.371,2736,2707,464,1,0,0,541,923,0,0,85,610,10001110011010000
FR,0.303,0.707,0.192,17880,4462,1700,48,1,2,897,3294,0,18,364,2611,10001111011111000
HE,0.403,0.259,0.909,4673,1282,271,99,0,32,270,77,0,0,60,21,11111100000101010
HU,0.787,0.856,0.729,3569,2999,288,2,2205,21,597,701,440,470,46,99,11111111110100001
IT,0.122,0.366,0.073,15728,1954,372,51,2,6,380,1906,0,1,81,1468,10100111011000010
LT,0.253,0.171,0.480,12153,402,141,0,0,0,70,25,0,0,28,12,11111100101111110
MT,0.061,0.108,0.042,5965,772,176,1,7,0,167,425,2,182,27,163,11110110011100110
PL,0.560,0.695,0.469,11578,3149,842,32,0,4,617,914,0,0,172,366,10100111010100000
PT,0.412,0.635,0.305,19640,3447,1407,51,76,3,650,1354,14,7,244,979,11111111111111101
RO,0.398,0.827,0.262,45469,4040,1427,24,1,12,813,2561,0,470,290,1288,11111110111011000
SL,0.132,0.649,0.073,8881,1787,986,0,14,0,359,3172,7,1667,205,1275,10100110010100010
SV,0.000,0.000,0.000,200,56,12,1,0,0,12,10,0,0,2,9,11111111111111100
TR,0.054,0.434,0.029,16715,6169,3123,17,3,1,1190,17825,0,323,589,10437,11111111010010000
