Lang,Fscor,Recall,precision
BG,0.548,0.471,0.664
BG,0.522,0.448,0.631
BG,0.522,0.448,0.631
CS,0.712,0.653,0.783
CS,0.706,0.647,0.777
CS,0.706,0.647,0.777
DE,0.421,0.318,0.629
DE,0.219,0.166,0.326
DE,0.219,0.166,0.326
EL,0.578,0.515,0.663
EL,0.517,0.460,0.593
EL,0.517,0.460,0.593
ES,0.663,0.569,0.802
ES,0.641,0.550,0.775
ES,0.641,0.550,0.775
FA,0.810,0.799,0.825
FA,0.810,0.799,0.825
FA,0.810,0.799,0.825
FR,0.725,0.647,0.836
FR,0.712,0.636,0.820
FR,0.712,0.636,0.820
HE,0.274,0.180,0.648
HE,0.268,0.175,0.634
HE,0.268,0.175,0.634
HU,0.829,0.829,0.832
HU,0.153,0.153,0.153
HU,0.153,0.153,0.153
IT,0.279,0.217,0.413
IT,0.271,0.211,0.401
IT,0.271,0.211,0.401
LT,0.221,0.142,0.521
LT,0.217,0.139,0.511
LT,0.217,0.139,0.511
MT,0.066,0.041,0.175
MT,0.060,0.037,0.160
MT,0.060,0.037,0.160
PL,0.741,0.646,0.869
PL,0.736,0.642,0.863
PL,0.736,0.642,0.863
PT,0.671,0.583,0.792
PT,0.634,0.551,0.749
PT,0.634,0.551,0.749
RO,0.868,0.830,0.909
RO,0.860,0.823,0.902
RO,0.860,0.823,0.902
SL,0.420,0.332,0.580
SL,0.413,0.326,0.571
SL,0.413,0.326,0.571
SV,0.252,0.176,0.540
SV,0.231,0.162,0.500
SV,0.231,0.162,0.500
TR,0.603,0.589,0.643
TR,0.566,0.552,0.605
TR,0.566,0.552,0.605
