Lang,Fscor,Recall,precision
BG,0.561,0.485,0.669
BG,0.000,0.000,0.000
BG,0.000,0.000,0.000
CS,0.708,0.647,0.781
CS,0.000,0.000,0.000
CS,0.000,0.000,0.000
DE,0.255,0.174,0.472
DE,0.000,0.000,0.000
DE,0.000,0.000,0.000
EL,0.576,0.519,0.650
EL,0.000,0.000,0.000
EL,0.000,0.000,0.000
ES,0.674,0.583,0.806
ES,0.000,0.000,0.000
ES,0.000,0.000,0.000
FA,0.823,0.804,0.846
FA,0.000,0.000,0.000
FA,0.000,0.000,0.000
FR,0.728,0.650,0.837
FR,0.000,0.000,0.000
FR,0.000,0.000,0.000
HE,0.274,0.182,0.608
HE,0.000,0.000,0.000
HE,0.000,0.000,0.000
HU,0.270,0.162,0.810
HU,0.000,0.000,0.000
HU,0.000,0.000,0.000
IT,0.274,0.213,0.403
IT,0.000,0.000,0.000
IT,0.000,0.000,0.000
LT,0.213,0.136,0.503
LT,0.000,0.000,0.000
LT,0.000,0.000,0.000
MT,0.071,0.044,0.183
MT,0.000,0.000,0.000
MT,0.000,0.000,0.000
PL,0.735,0.645,0.855
PL,0.000,0.000,0.000
PL,0.000,0.000,0.000
PT,0.667,0.575,0.796
PT,0.000,0.000,0.000
PT,0.000,0.000,0.000
RO,0.868,0.830,0.910
RO,0.000,0.000,0.000
RO,0.000,0.000,0.000
SL,0.389,0.319,0.507
SL,0.000,0.000,0.000
SL,0.000,0.000,0.000
SV,0.268,0.190,0.547
SV,0.000,0.000,0.000
SV,0.000,0.000,0.000
TR,0.603,0.586,0.648
TR,0.000,0.000,0.000
TR,0.000,0.000,0.000
