BG,0.557,0.482,0.664,0.158,0.489,-,-,,A useFirstBufferElement B transitionHistoryLength1 D transitionHistoryLength2 F useBiGram I useTriGram L useDictionary M S0B0Distance 
CS,0.704,0.643,0.777,0.261,0.747,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma J usePOS K S0S1Distance L useDictionary M S0B0Distance O useStackLength 
DE,0.240,0.165,0.444,0.060,0.153,-,-,,A useFirstBufferElement F useBiGram H useSytax I useTriGram K S0S1Distance L useDictionary N generateS0B2Bigram P enhanceMerge Q enableSingleMWE 
EL,0.570,0.509,0.650,0.236,0.625,-,-,,A useFirstBufferElement E useSecondBufferElement F useBiGram G useLemma H useSytax J usePOS K S0S1Distance L useDictionary N generateS0B2Bigram 
ES,0.660,0.568,0.794,0.216,0.688,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS K S0S1Distance L useDictionary M S0B0Distance 
FA,0.877,0.846,0.910,0.729,0.877,-,-,,A useFirstBufferElement E useSecondBufferElement F useBiGram G useLemma J usePOS K S0S1Distance M S0B0Distance 
FR,0.723,0.643,0.831,0.177,0.867,-,-,,A useFirstBufferElement E useSecondBufferElement F useBiGram G useLemma H useSytax J usePOS K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram 
HE,0.258,0.170,0.618,0.024,0.175,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram L useDictionary N generateS0B2Bigram P enhanceMerge 
HU,0.258,0.154,0.803,0.124,0.513,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS L useDictionary Q enableSingleMWE 
IT,0.277,0.214,0.414,0.057,0.460,-,-,,A useFirstBufferElement C transitionHistoryLength3 F useBiGram G useLemma H useSytax J usePOS K S0S1Distance P enhanceMerge 
LT,0.203,0.126,0.531,0.030,0.128,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram I useTriGram K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram O useStackLength P enhanceMerge 
MT,0.084,0.054,0.213,0.021,0.161,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 F useBiGram G useLemma J usePOS K S0S1Distance L useDictionary O useStackLength P enhanceMerge 
PL,0.652,0.563,0.776,0.130,0.553,-,-,,A useFirstBufferElement C transitionHistoryLength3 F useBiGram G useLemma H useSytax J usePOS L useDictionary 
PT,0.650,0.556,0.784,0.179,0.777,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram O useStackLength Q enableSingleMWE 
RO,0.860,0.817,0.909,0.107,1.412,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma I useTriGram J usePOS K S0S1Distance M S0B0Distance N generateS0B2Bigram 
SL,0.378,0.309,0.494,0.050,0.324,-,-,,A useFirstBufferElement C transitionHistoryLength3 F useBiGram G useLemma J usePOS L useDictionary P enhanceMerge 
SV,0.257,0.164,0.733,0.129,0.049,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax I useTriGram J usePOS K S0S1Distance L useDictionary M S0B0Distance N generateS0B2Bigram O useStackLength 
TR,0.596,0.579,0.643,0.236,1.111,-,-,,A useFirstBufferElement B transitionHistoryLength1 C transitionHistoryLength3 D transitionHistoryLength2 E useSecondBufferElement F useBiGram G useLemma H useSytax J usePOS M S0B0Distance 
