Lang,Exper, F-score, Recall,Precision
BG,Maximaliste1,0.584,0.517,0.670
CS,Maximaliste1,0.705,0.653,0.767
DE,Maximaliste1,0.202,0.127,0.482
EL,Minimaliste1,0.620,0.753,0.526
ES,Maximaliste1,0.669,0.577,0.796
FA,Maximaliste1,0.829,0.804,0.855
FR,Maximaliste1,0.735,0.676,0.807
HE,Maximaliste1,0.287,0.170,0.902
HU,Maximaliste1,0.179,0.101,0.833
IT,Minimaliste1,0.414,0.366,0.476
LT,Maximaliste1,0.154,0.086,0.750
MT,Minimaliste1,0.123,0.072,0.429
PL,Minimaliste1,0.727,0.676,0.787
RO,Maximaliste1,0.860,0.824,0.898
PT,Maximaliste1,0.657,0.578,0.761
SL,Minimaliste1,0.579,1.123,0.390
SV,Maximaliste1,0.400,0.250,1.000
TR,Maximaliste1,0.611,0.554,0.682
