Lang,Fscor,Recall,precision
DE,0.384,0.322,0.474
CS,0.669,0.607,0.745
FR,0.707,0.682,0.734
FR,0.756,0.699,0.823
FR,0.740,0.669,0.829
BG,0.539,0.486,0.605
CS,0.706,0.657,0.762
DE,0.388,0.310,0.520
EL,0.370,0.482,0.300
ES,0.583,0.492,0.715
FA,0.823,0.790,0.859
FR,0.580,0.464,0.773
BG,0.516,0.683,0.414
BG,0.561,0.648,0.495
BG,0.561,0.648,0.495
CS,0.720,0.790,0.662
DE,0.398,0.549,0.312
EL,0.433,0.468,0.404
ES,0.600,0.699,0.526
FA,0.844,0.851,0.836
FR,0.607,0.798,0.490
HE,0.297,0.575,0.200
HU,0.737,0.748,0.726
IT,0.279,0.595,0.182
LT,0.351,0.742,0.230
MT,0.069,0.142,0.046
PL,0.754,0.859,0.672
PT,0.695,0.802,0.614
RO,0.864,0.906,0.826
SL,0.379,0.448,0.328
SV,0.306,0.431,0.237
DE,0.398,0.549,0.312
DE,0.398,0.549,0.312
TR,0.532,0.585,0.487
BG,0.562,0.639,0.501
BG,0.560,0.635,0.501
BG,0.558,0.639,0.495
BG,0.558,0.639,0.495
